[09:32:38] === CP3A BATCH START === tasks=90 lanes=3 runs_each=3 total=810 already_done=0
[09:32:38] --- LANE LANE-GEMINI-001 (gemini-2.5-flash) ---
[09:38:40]   [77/810] RUN-A3-006-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:42]   [78/810] RUN-A3-006-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:44]   [79/810] RUN-A3-007-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:38:46]   [80/810] RUN-A3-007-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:38:48]   [81/810] RUN-A3-007-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:38:50]   [82/810] RUN-A3-008-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:38:52]   [83/810] RUN-A3-008-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:38:54]   [84/810] RUN-A3-008-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:38:56]   [85/810] RUN-A3-009-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:38:58]   [86/810] RUN-A3-009-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:39:00]   [87/810] RUN-A3-009-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:02]   [88/810] RUN-A3-010-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:04]   [89/810] RUN-A3-010-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:39:06]   [90/810] RUN-A3-010-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:08]   [91/810] RUN-A4-001-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:39:10]   [92/810] RUN-A4-001-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:12]   [93/810] RUN-A4-001-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:14]   [94/810] RUN-A4-002-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
